label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.2,1.4961359859399852,4.464405174870126,22.579745018690648,0.0,1.5899479058134602,0.012526802038337337,4.712822250032332,107520,1,1,16,0,1.2,cpu,arm,fp32
T1_k16_kl_be1.5,1.533439199413572,4.634086996767908,17.567313815214273,0.0,1.5635065010428661,0.013109972618015794,4.75760462495964,107520,1,1,16,0,1.5,cpu,arm,fp32
T1_k16_wmf_be1.2,1.398033575695895,4.047233558308605,23.305508046206974,0.0,3.6477799385465914,0.03252864591255881,8.363266209024005,107520,1,1,16,0,1.2,cpu,arm,fp32
T1_k16_wmf_be1.5,1.3742741463085015,3.952206957521988,22.939727142883378,0.0,3.5603346241259715,0.031874132749483884,8.454944957979023,107520,1,1,16,0,1.5,cpu,arm,fp32
T2_k16_kl_be1.2,0.9409701919094438,2.562466296799242,764.9739777305607,0.0,2.4381953135161893,0.020282117172124952,6.038718292023987,107520,1,2,16,0,1.2,cpu,arm,fp32
T2_k16_kl_be1.5,0.889675141072699,2.434338706163266,991.713099550345,0.0,2.473843751431559,0.021720867152907886,5.995918791973963,107520,1,2,16,0,1.5,cpu,arm,fp32
T2_k16_wmf_be1.2,0.8186160774458022,2.26735981487319,1578.816464137907,0.0,6.499428374809213,0.06097976294464994,11.762389459006954,107520,1,2,16,0,1.2,cpu,arm,fp32
T2_k16_wmf_be1.5,0.8461065709768306,2.330555313084056,1636.9440191178717,0.0,6.178610687129549,0.05962841798160904,11.823247499996796,107520,1,2,16,0,1.5,cpu,arm,fp32
T3_k16_kl_be1.2,0.7494752036851077,2.115889314277067,16844.970603871458,0.0,3.5294518438604428,0.030479709645684732,7.152088542003185,107520,1,3,16,0,1.2,cpu,arm,fp32
T3_k16_kl_be1.5,0.6855909747027216,1.9849445409934325,18582.648127215172,0.0,3.55681509427086,0.030148980613375898,7.13537825003732,107520,1,3,16,0,1.5,cpu,arm,fp32
T3_k16_wmf_be1.2,0.6636808929166623,1.9419272211220755,16050.2988157098,0.0,9.253602844182751,0.0870051003403205,14.993148540961556,107520,1,3,16,0,1.2,cpu,arm,fp32
T3_k16_wmf_be1.5,0.7043099961287919,2.0224507045463374,17522.54737243976,0.0,8.928921874030493,0.08739393357852047,15.044116333010606,107520,1,3,16,0,1.5,cpu,arm,fp32
