label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.2,0.13387006399709553,1.1432442614036535,285.72597296578545,0.00390625,1.5707500006101327,0.012781304728074852,23.435179207997862,537600,5,1,16,0,1.2,cpu,arm,fp32
T1_k16_kl_be1.5,0.11784483622094351,1.125069527783536,168.881556447347,0.00390625,1.5862330619711429,0.012887150963554935,23.142128083040006,537600,5,1,16,0,1.5,cpu,arm,fp32
T1_k16_wmf_be1.2,0.10236237314197101,1.1077848304723728,807.034520031157,0.00390625,3.6306471556599718,0.033085828211672684,41.08721887500724,537600,5,1,16,1,1.2,cpu,arm,fp32
T1_k16_wmf_be1.5,0.10892017382817963,1.115073334752996,1297.9848461332776,0.00390625,3.5620495000330266,0.033071453117372585,41.97724166698754,537600,5,1,16,1,1.5,cpu,arm,fp32
T1_k32_kl_be1.2,0.11780859291376103,1.1250287522819629,618.5918547130766,0.00390625,1.9007942501048092,0.01687467442934576,27.14622649998637,537600,5,1,32,0,1.2,cpu,arm,fp32
T1_k32_kl_be1.5,0.13060851805799065,1.1395215918543904,564.8005642118908,0.00390625,1.9410612185311038,0.017807725195477058,27.237917250022292,537600,5,1,32,0,1.5,cpu,arm,fp32
T1_k32_wmf_be1.2,0.10574969271685751,1.1115436142202755,582.347686840239,0.00390625,11.139134125187411,0.075290743552614,66.18629483296536,537600,5,1,32,1,1.2,cpu,arm,fp32
T1_k32_wmf_be1.5,0.10857551738154143,1.1146890837607935,807.9780639648437,0.00390625,8.152057280312874,0.07562532550764445,66.29670841700863,537600,5,1,32,1,1.5,cpu,arm,fp32
T2_k16_kl_be1.2,0.13489384711498306,1.1444152949179887,17643.551613653275,0.0078125,2.559313812525943,0.021083387991893687,29.75159233401064,537600,5,2,16,0,1.2,cpu,arm,fp32
T2_k16_kl_be1.5,0.13919135230105548,1.1493440085836746,7411.001427641369,0.0078125,2.5690781258163042,0.02060275664916844,29.582390333001968,537600,5,2,16,0,1.5,cpu,arm,fp32
T2_k16_wmf_be1.2,0.11939357478792469,1.1268133163394913,5020.728247651599,0.0078125,6.313070311080082,0.0609025612448022,57.97492245800095,537600,5,2,16,1,1.2,cpu,arm,fp32
T2_k16_wmf_be1.5,0.09861466386022845,1.103640944870488,2733.6523710704987,0.0078125,6.2829609378241,0.059697753916528505,57.66823170898715,537600,5,2,16,1,1.5,cpu,arm,fp32
T2_k32_kl_be1.2,0.13663147130005415,1.1464055873015135,7171.38884626116,0.0078125,2.9988684691488743,0.0274906679654426,34.57763050001813,537600,5,2,32,0,1.2,cpu,arm,fp32
T2_k32_kl_be1.5,0.13573959856959325,1.1453835952313245,43227.17563244048,0.0078125,2.9201666875451338,0.028134548150167877,34.99142487498466,537600,5,2,32,0,1.5,cpu,arm,fp32
T2_k32_wmf_be1.2,0.10642125196976676,1.1122903323240796,3645.8391636439733,0.0078125,14.795282562772627,0.15304524739197709,105.18360554100946,537600,5,2,32,1,1.2,cpu,arm,fp32
T2_k32_wmf_be1.5,0.10836920057689504,1.1144591283935017,5748.231168619792,0.0078125,15.124484374609892,0.15145638159689648,105.28854574996512,537600,5,2,32,1,1.5,cpu,arm,fp32
T3_k16_kl_be1.2,0.11887790398406131,1.1262324014041594,9959.777608816965,0.01171875,3.4136940321332077,0.02775385147894364,35.84216362499865,537600,5,3,16,0,1.2,cpu,arm,fp32
T3_k16_kl_be1.5,0.13769359861367514,1.1476238628556152,25358.125651041668,0.01171875,3.626845031249104,0.031028321624641347,36.5416347910068,537600,5,3,16,0,1.5,cpu,arm,fp32
T3_k16_wmf_be1.2,0.08118181372272028,1.0845680679999676,26090.04820731027,0.01171875,9.40173178059922,0.08935400395178779,76.23220695799682,537600,5,3,16,1,1.2,cpu,arm,fp32
T3_k16_wmf_be1.5,0.0747156121155491,1.0775776572748785,42462.04688895089,0.01171875,9.321812500274973,0.09349961987936695,76.08434175001457,537600,5,3,16,1,1.5,cpu,arm,fp32
T3_k32_kl_be1.2,0.11255588104416217,1.1191347935862808,11732.317859468007,0.01171875,4.477412781852763,0.04401649221108528,42.167291833029594,537600,5,3,32,0,1.2,cpu,arm,fp32
T3_k32_kl_be1.5,0.11855038115976467,1.1258635949867937,2564.8849466959637,0.01171875,4.110839843633585,0.040291287708290234,42.78656400000909,537600,5,3,32,0,1.5,cpu,arm,fp32
T3_k32_wmf_be1.2,0.09239262389684362,1.0967953656249358,23736.2574265253,0.01171875,21.812070312080323,0.23250705332126623,145.3853817919735,537600,5,3,32,1,1.2,cpu,arm,fp32
T3_k32_wmf_be1.5,0.08874199455548522,1.0927986719440215,28248.32654157366,0.01171875,23.079158843756886,0.22896435552866023,144.1575169590069,537600,5,3,32,1,1.5,cpu,arm,fp32
