label,final_loss,perplexity,final_energy,iters_per_token,decode_ms_per_token,forward_ms_per_token,total_seconds,tokens_seen,epochs,T,k,use_wmf,beta_end,device,hardware_name,dtype
T1_k16_kl_be1.3,0.010125826927833259,1.0101772665897522,39.16402382850647,0.0,2.8154960928077344,0.03445681386438082,94.36343974998454,2007040,49,1,16,0,1.3,cpu,arm,fp32
T1_k16_kl_be1.4,0.03725722753442824,1.0379599783883449,183.17173042297364,0.0,3.1764179693709593,0.021715223889865836,94.7351273749955,2007040,49,1,16,0,1.4,cpu,arm,fp32
T1_k16_kl_be1.5,0.004194780852412805,1.004203591260549,15.13168032169342,0.0,2.598174500235473,0.03204378390364582,91.85909837501822,2007040,49,1,16,0,1.5,cpu,arm,fp32
T1_k16_kl_be1.6,0.003288183978293091,1.0032935959854967,10.849484264850616,0.0,2.6359166549809743,0.03147412106348687,91.19918220798718,2007040,49,1,16,0,1.6,cpu,arm,fp32
T1_k32_kl_be1.3,0.011687959742266685,1.011756530835386,52.301168870925906,0.0,1.8343385308980942,0.01844064581746352,86.18817762495019,2007040,49,1,32,0,1.3,cpu,arm,fp32
T1_k32_kl_be1.4,0.0033662201152765193,1.0033718921969148,8.07787457704544,0.0,1.9231302194384625,0.01927066932694288,76.98365679197013,2007040,49,1,32,0,1.4,cpu,arm,fp32
T1_k32_kl_be1.5,0.005208969610976055,1.005222559880033,22.26599485874176,0.0,1.8243242193420883,0.01856521096973059,76.95493624999654,2007040,49,1,32,0,1.5,cpu,arm,fp32
T1_k32_kl_be1.6,0.009563250950304792,1.0096091249529262,40.79549694061279,0.0,2.0246002495696303,0.01830756248940209,77.60236070898827,2007040,49,1,32,0,1.6,cpu,arm,fp32
T2_k16_kl_be1.3,0.015091039484832435,1.0152054841930198,75.05342383384705,0.0,2.8510494994407054,0.024583007871115115,88.04150316596497,2007040,49,2,16,0,1.3,cpu,arm,fp32
T2_k16_kl_be1.4,0.026631935173645614,1.026989734392666,132.56395626068115,0.0,2.6129908746952424,0.0234319673684998,88.85359274997609,2007040,49,2,16,0,1.4,cpu,arm,fp32
T2_k16_kl_be1.5,0.41358431056141853,1.5122283788456794,2067.040382385254,0.0,2.556833343987819,0.021761230527772568,87.4985803749878,2007040,49,2,16,0,1.5,cpu,arm,fp32
T2_k16_kl_be1.6,0.04939146237447858,1.0506315529721044,246.4937885284424,0.0,2.9060703127470333,0.02528336722207314,88.79494975000853,2007040,49,2,16,0,1.6,cpu,arm,fp32
T2_k32_kl_be1.3,0.24317694418132305,1.2752942600541792,1211.0586441040039,0.0,3.68597787564795,0.03704535538417986,100.6452580000041,2007040,49,2,32,0,1.3,cpu,arm,fp32
T2_k32_kl_be1.4,0.1676334010437131,1.1825030268015424,837.7568290710449,0.0,3.7438841245602816,0.036375109402797534,101.57164762500906,2007040,49,2,32,0,1.4,cpu,arm,fp32
T2_k32_kl_be1.5,0.04289886080659926,1.0438323171530786,214.24415664672853,0.0,3.1881823124422226,0.030488334535524093,101.75673287501559,2007040,49,2,32,0,1.5,cpu,arm,fp32
T2_k32_kl_be1.6,0.0504877669736743,1.0517839967749834,252.1190324783325,0.0,3.678828124975553,0.036731500055490564,102.15163954201853,2007040,49,2,32,0,1.6,cpu,arm,fp32
T3_k16_kl_be1.3,0.17300297059118747,1.1888696367244524,864.8336006164551,0.0,3.7704895930801285,0.03182519534069191,109.11537037498783,2007040,49,3,16,0,1.3,cpu,arm,fp32
T3_k16_kl_be1.4,0.15551956966519356,1.1682647983945094,777.4446769714356,0.0,3.451046875852626,0.03019976035526876,107.68698975001462,2007040,49,3,16,0,1.4,cpu,arm,fp32
T3_k16_kl_be1.5,2.317190632224083,10.14712721299709,11585.753369140624,0.0,3.9585781250934815,0.031195149631457753,105.40373595902929,2007040,49,3,16,0,1.5,cpu,arm,fp32
T3_k16_kl_be1.6,0.6188855759799481,1.8568575616956513,3094.26735534668,0.0,4.083114561581169,0.03276844662044217,106.88857579103205,2007040,49,3,16,0,1.6,cpu,arm,fp32
T3_k32_kl_be1.3,0.5928586214780808,1.8091527132980059,2964.1512298583984,0.0,4.516983060966595,0.04640543617521568,123.9617249169969,2007040,49,3,32,0,1.3,cpu,arm,fp32
T3_k32_kl_be1.4,0.20221622548997403,1.2241126638581938,967.5704566955567,0.0,4.154598967943457,0.05227099609328434,127.4904547079932,2007040,49,3,32,0,1.4,cpu,arm,fp32
T3_k32_kl_be1.5,0.16180432131513953,1.1756301730458611,782.7431133270263,0.0,4.798726562512456,0.04861371485276322,128.32017662498401,2007040,49,3,32,0,1.5,cpu,arm,fp32
T3_k32_kl_be1.6,1.6937696874141692,5.439949008650952,8468.76044921875,0.0,4.828151062611141,0.049154839795543616,127.56590379204135,2007040,49,3,32,0,1.6,cpu,arm,fp32
